source_field,source_number,source_id,ra_deg,dec_deg,peak_flux,snr,noise_level,peak_x_pix,peak_y_pix,npix
G015.013-00.671_eb1,1710,G015.013-00.671_eb1_1710,275.09506653111674,-16.21716094412047,0.002306412672623992,84.85021545519255,2.718216636517506e-05,384,0,419
G015.013-00.671_eb1,1718,G015.013-00.671_eb1_1718,275.0954784780083,-16.21716092852381,0.0002741011558100581,10.083859841326994,2.718216636517506e-05,28,0,36
G015.013-00.671_eb1,2072,G015.013-00.671_eb1_2072,275.0948779149839,-16.217160950996647,0.003683334682136774,135.50556025055263,2.718216636517506e-05,547,0,726
G015.013-00.671_eb1,4647,G015.013-00.671_eb1_4647,275.09544954915356,-16.217160929645004,0.00031037870212458074,11.418468195464664,2.718216636517506e-05,53,0,161
G015.013-00.671_eb1,5501,G015.013-00.671_eb1_5501,275.09545417777036,-16.217160929465884,0.0005517336539924145,20.29763362420143,2.718216636517506e-05,49,0,228
G015.013-00.671_eb1,7484,G015.013-00.671_eb1_7484,275.0954958353212,-16.21716092784922,0.0009074906702153385,33.38551674004862,2.718216636517506e-05,13,0,433
G015.024-00.654_eb1,2510,G015.024-00.654_eb1_2510,275.085127025688,-16.199438776621868,0.001100356923416257,41.51008403626678,2.6508183468260154e-05,151,0,385
G015.024-00.654_eb1,2711,G015.024-00.654_eb1_2711,275.0852531441547,-16.199438771777324,0.00038162723649293184,14.396581981933132,2.6508183468260154e-05,42,0,47
G015.024-00.654_eb1,2732,G015.024-00.654_eb1_2732,275.08515595194183,-16.199438775517297,0.0006878456333652139,25.948425858332122,2.6508183468260154e-05,126,0,174
G015.024-00.654_eb1,2743,G015.024-00.654_eb1_2743,275.0853017402611,-16.19943876989078,0.0003064674965571612,11.561240962592295,2.6508183468260154e-05,0,0,13
G015.024-00.654_eb1,6082,G015.024-00.654_eb1_6082,275.08511429813626,-16.199438777106636,0.0009956011781468987,37.558257409037175,2.6508183468260154e-05,162,0,414
G015.024-00.654_eb1,6662,G015.024-00.654_eb1_6662,275.0852728140073,-16.199438771015057,0.00031209885491989553,11.773679448597083,2.6508183468260154e-05,25,0,83
G015.024-00.654_eb1,6703,G015.024-00.654_eb1_6703,275.0852334743021,-16.19943877253778,0.00026840760256163776,10.125461930766336,2.6508183468260154e-05,59,0,119
G015.029-00.669_eb1,1556,G015.029-00.669_eb1_1556,275.1112432246113,-16.200938786273802,0.0007515748147852719,25.922192605370416,2.8993489332748988e-05,292,0,326
G015.029-00.669_eb1,2356,G015.029-00.669_eb1_2356,275.1114468669872,-16.200938778569043,0.00047814787831157446,16.49156032321686,2.8993489332748988e-05,116,0,163
G015.029-00.669_eb1,4015,G015.029-00.669_eb1_4015,275.11157877170797,-16.20093877347503,0.001726584741845727,59.550774383526836,2.8993489332748988e-05,2,0,240
G015.029-00.669_eb1,4019,G015.029-00.669_eb1_4019,275.11157877170797,-16.20093877347503,0.0011602712329477072,40.01833720776571,2.8993489332748988e-05,2,0,8
G015.029-00.669_eb1,4021,G015.029-00.669_eb1_4021,275.1115810858259,-16.200938773384937,0.0007571887690573931,26.115820706068874,2.8993489332748988e-05,0,0,15
G015.029-00.669_eb1,4024,G015.029-00.669_eb1_4024,275.1115753005311,-16.20093877361013,0.0010070319985970855,34.73303909852663,2.8993489332748988e-05,5,0,26
G015.029-00.669_eb1,4033,G015.029-00.669_eb1_4033,275.1115660440595,-16.200938773970098,0.0014771419810131192,50.9473683577866,2.8993489332748988e-05,13,0,65
G015.029-00.669_eb1,4034,G015.029-00.669_eb1_4034,275.11156141582364,-16.200938774149957,0.0005169193027541041,17.828806213063455,2.8993489332748988e-05,17,0,38
G015.029-00.669_eb1,4044,G015.029-00.669_eb1_4044,275.1115729864132,-16.200938773700152,0.0006108711822889745,21.069253696173014,2.8993489332748988e-05,7,0,12
G015.029-00.669_eb1,4049,G015.029-00.669_eb1_4049,275.1115799287669,-16.20093877342998,0.0008259961032308638,28.489020198678784,2.8993489332748988e-05,1,0,18
G015.029-00.669_eb1,4053,G015.029-00.669_eb1_4053,275.11157645759005,-16.200938773565095,0.000413085421314463,14.247523524113086,2.8993489332748988e-05,4,0,5
G015.029-00.669_eb1,4057,G015.029-00.669_eb1_4057,275.1115810858259,-16.200938773384937,0.0004746399645227939,16.370570615889072,2.8993489332748988e-05,0,0,11
G015.029-00.669_eb1,4059,G015.029-00.669_eb1_4059,275.1115729864132,-16.200938773700152,0.0009897530544549227,34.13707964211703,2.8993489332748988e-05,7,0,13
G015.029-00.669_eb1,4062,G015.029-00.669_eb1_4062,275.1115706722953,-16.20093877379017,0.0007326271734200418,25.268678944155855,2.8993489332748988e-05,9,0,12
G015.029-00.669_eb1,4067,G015.029-00.669_eb1_4067,275.1115741434721,-16.200938773655146,0.0006435341201722622,22.195814818514158,2.8993489332748988e-05,6,0,15
G015.029-00.669_eb1,4069,G015.029-00.669_eb1_4069,275.11157182935426,-16.20093877374517,0.0005432047182694077,18.73540338781653,2.8993489332748988e-05,8,0,67
G015.029-00.669_eb1,4072,G015.029-00.669_eb1_4072,275.1115348034677,-16.200938775182067,0.010120161809027195,349.0494604799491,2.8993489332748988e-05,40,0,205
G015.029-00.669_eb1,4073,G015.029-00.669_eb1_4073,275.11156835817735,-16.200938773880146,0.0005316860624589026,18.338119167269312,2.8993489332748988e-05,11,0,24
G015.029-00.669_eb1,4083,G015.029-00.669_eb1_4083,275.11153943170353,-16.200938775002815,0.0017145699821412563,59.136379290663704,2.8993489332748988e-05,36,0,38
G015.029-00.669_eb1,4084,G015.029-00.669_eb1_4084,275.11157877170797,-16.20093877347503,0.001071407226845622,36.95337303314632,2.8993489332748988e-05,2,0,13
G015.029-00.669_eb1,4091,G015.029-00.669_eb1_4091,275.1115799287669,-16.20093877342998,0.0008014735067263246,27.643223536431574,2.8993489332748988e-05,1,0,9
G015.029-00.669_eb1,4092,G015.029-00.669_eb1_4092,275.1115741434721,-16.200938773655146,0.00048157756100408733,16.609851800767267,2.8993489332748988e-05,6,0,10
G015.029-00.669_eb1,4093,G015.029-00.669_eb1_4093,275.11154058876247,-16.200938774957976,0.0003791644121520221,13.077570891881058,2.8993489332748988e-05,35,0,66
G015.029-00.669_eb1,4099,G015.029-00.669_eb1_4099,275.11157182935426,-16.20093877374517,0.0016036632005125284,55.31114872403938,2.8993489332748988e-05,8,0,13
