target,proposal,src_id,ra,dec,peak_Jybeam,snr,sep_arcsec,on_target,all_off_target
G232.6207+00.9959,2015.1.01454.S,2,113.04165274577682,-16.975579996288694,0.005963921546936,10.131596565246582,19.075558249352103,False,True
G232.6207+00.9959,2015.1.01454.S,3,113.04205005617384,-16.975495549066544,0.0067869173362851,11.529714584350586,19.103549818912423,False,True
G232.6207+00.9959,2015.1.01454.S,4,113.0424749563134,-16.975326656355705,0.0060825925320386,10.333196640014648,18.981506674509312,False,True
G232.6207+00.9959,2015.1.01454.S,5,113.0434627065492,-16.97483053296034,0.006441930308938,10.943645477294922,18.890148446723376,False,True
G232.6207+00.9959,2015.1.01454.S,6,113.0440917705934,-16.974350244881126,0.0065490487031638,11.125619888305664,18.78285247224115,False,True
G232.6207+00.9959,2015.1.01454.S,7,113.04467116498944,-16.973738011464956,0.0072978767566382,12.39773941040039,18.642513201550234,False,True
G232.6207+00.9959,2015.1.01454.S,8,113.0360462895916,-16.973632453474398,0.0079457145184278,13.498295783996582,19.389107424159086,False,True
G232.6207+00.9959,2015.1.01454.S,9,113.04483118766647,-16.973574396974,0.0071156760677695,12.088214874267578,18.699188783731763,False,True
G232.6207+00.9959,2015.1.01454.S,10,113.03504757742265,-16.97106215199765,0.0075895013287663,12.893156051635742,19.072107126445438,False,True
G232.6207+00.9959,2015.1.01454.S,11,113.04581333695846,-16.970734929051915,0.0061911176890134,10.517560958862305,18.194326760533546,False,True
G232.6207+00.9959,2015.1.01454.S,12,113.03527387786554,-16.968898268903153,0.006350056733936,10.787569046020508,18.915419133160714,False,True
G232.6207+00.9959,2015.1.01454.S,13,113.0449303730383,-16.967694950368056,0.0069009447470307,11.72342586517334,17.955729879400977,False,True
G232.6207+00.9959,2015.1.01454.S,14,113.03650443507252,-16.966971907158122,0.0065232859924435,11.081853866577148,18.56233143305391,False,True
G232.6207+00.9959,2015.1.01454.S,15,113.04338531588851,-16.966227756307504,0.0070538488216698,11.98318099975586,17.89618991006984,False,True
G232.6207+00.9959,2015.1.01454.S,16,113.03799429712232,-16.965916374592467,0.0072159566916525,12.258572578430176,18.3351552585025,False,True
G232.6207+00.9959,2015.1.01454.S,17,113.04254106671353,-16.965779155670447,0.0070308046415448,11.9440336227417,17.966371787511342,False,True
G232.6207+00.9959,2015.1.01454.S,18,113.04179614556118,-16.96555221758414,0.0060289809480309,10.242120742797852,17.939792914311063,False,True
G232.6207+00.9959,2015.1.01454.S,19,113.03911995682556,-16.965515273679202,0.0083838598802685,14.242623329162598,18.215141996369752,False,True
G232.6207+00.9959,2018.1.01561.S,1,113.04077685509918,-16.97004166666947,0.1169647276401519,64.55613708496094,1.4893934345556101,True,False
G232.6207+00.9959,2023.1.01721.S,1,113.0407914579,-16.970051488683325,0.0177677292376756,177.37490844726562,1.4883242961385053,True,False
G232.6207+00.9959,2023.1.01721.S,2,113.04076357724054,-16.97003548868143,0.033663310110569,336.0602111816406,1.484059413664109,True,False
G268.4222-00.8490,2019.1.00685.S,1,135.4760001471,-47.73633344058824,3.69226598739624,24.244253158569336,1.8167102875799268,True,False
G268.4222-00.8490,2021.1.00095.S,1,135.47635597230098,-47.73681820817918,0.0133728943765163,22.44834518432617,2.4958810839140146,True,False
G268.4222-00.8490,2021.1.00095.S,2,135.4767421485926,-47.73652792716221,0.0222820937633514,37.40372848510742,1.3031122737632614,True,False
G268.4222-00.8490,2021.1.00095.S,3,135.4769011571741,-47.736252925451694,0.0298232901841402,50.062721252441406,0.560701687040755,True,False
G268.4222-00.8490,2021.1.00095.S,4,135.47690114866924,-47.73591681434012,0.0147110233083367,24.69458770751953,1.0134005246531685,True,False
G268.4222-00.8490,2021.1.00095.S,5,135.47583348044495,-47.73487793271832,0.0192566197365522,32.32503128051758,5.100101467435172,False,False
G326.6618+00.5207,2022.1.01344.S,1,236.26187326288877,-54.150887527657886,0.0050264834426343,99.51058197021484,0.2124877704624043,True,False
G326.6618+00.5207,2022.1.01344.S,2,236.2599808765245,-54.14889640233388,0.0014816850889474,29.333301544189453,7.992247099643682,False,False
G336.4917-01.4741A,2016.1.01182.S,1,250.0032200440672,-48.87189108583902,0.3147898018360138,20.397912979125977,38.94442611341234,False,True
G336.4917-01.4741A,2016.1.01182.S,2,249.99305153862343,-48.86520203728396,0.5660537481307983,36.679443359375,22.726010387500946,False,True
G336.4917-01.4741A,2016.1.01182.S,3,249.9995881939602,-48.85970779809386,0.405855655670166,26.29884529113769,5.8640417524307,False,True
G336.4917-01.4741B,2016.1.01182.S,1,250.0032200440672,-48.87189108583902,0.3147898018360138,20.397912979125977,26.65531572554963,False,True
G336.4917-01.4741B,2016.1.01182.S,2,249.99305153862343,-48.86520203728396,0.5660537481307983,36.679443359375,27.802213649155302,False,True
G336.4917-01.4741B,2016.1.01182.S,3,249.9995881939602,-48.85970779809386,0.405855655670166,26.29884529113769,21.307373483741067,False,True
G342.1156-03.7089,2023.1.01346.S,1,257.7747740715238,-45.88358329919856,0.0214911308139562,55.69341659545898,8.744217346996974,False,True
G345.0052+01.8209,2023.1.01346.S,1,254.170693766978,-40.22318138291027,0.0118747940286993,31.565460205078125,17.487582212545853,False,True
G345.0052+01.8209,2023.1.01346.S,2,254.1701043958891,-40.22307640732312,0.0082884086295962,22.03216552734375,16.46119943922906,False,True
G345.0061+01.7944C,2023.1.01346.S,1,254.1633126815761,-40.22943147294552,0.0013106649275869,28.86553382873535,94.20101308936967,False,True
