target,proposal,src_id,species,line,v,peak_K,trough_K,sigma_K,snr,trough_snr,peak_v,dv_from_vlsr,v_ok,trough_clean,is_v0,passes_strict
G268.4222-00.8490,2021.1.00095.S,3,H2O,H2O_v2_3_13-2_20_232,2,0.005913983564823866,-0.004873376805335283,0.003598253708332777,1.6435704772924598,1.354372759777777,8.078003434745769,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,4,NaCl,NaCl_v0_J18-17,0,0.006705246865749359,-0.006632521282881498,0.0024109231308102608,2.781194796325118,2.7510297603940805,20.163709552093408,0.0,True,False,True,False
G268.4222-00.8490,2021.1.00095.S,4,NaCl,NaCl_v1_J17-16,1,0.007183598820120096,-0.0052895681001245975,0.002418623538687825,2.9701186254134493,2.1870158854876376,-12.329659420546436,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,4,NaCl,NaCl_v2_J17-16,2,0.0065301344729959965,-0.004520160611718893,0.00300467386841774,2.1733255451230593,1.504376451378135,8.252070223868825,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,4,NaCl,NaCl_v2_J18-17,2,0.010612912476062775,-0.006303766276687384,0.0027591236867010593,3.8464794192507124,2.2846986914981215,8.686853054672422,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,4,KCl,KCl_v2_J29-28,2,0.00847001001238823,-0.004516007378697395,0.002736737485975027,3.094929658322924,1.6501426979535312,21.681563116917737,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,4,H2O,H2O_5_15-4_22_232,0,0.007857385091483593,-0.003548459615558386,0.0015837864484637976,4.961139236356585,2.240491209531584,15.798837213056627,0.0,True,True,True,False
G268.4222-00.8490,2021.1.00095.S,4,H2O,H2O_v2_3_13-2_20_232,2,0.004082287661731243,-0.004256081767380238,0.0020729885436594486,1.9692765182989274,2.053113983865522,9.334982291979076,0.0,True,False,False,False
G326.6618+00.5207,2022.1.01344.S,1,NaCl,NaCl_v0_J18-17,0,0.0013917842879891396,-0.0008799531497061253,0.0007087327539920807,1.9637645927179643,1.2415866837670633,-29.422314123234248,0.0,True,False,True,False
G326.6618+00.5207,2022.1.01344.S,1,NaCl,NaCl_v1_J17-16,1,0.006211742293089628,-0.0025369192007929087,0.0009416683460585773,6.596528723822284,2.694068682898148,-24.730968099673657,0.0,True,True,False,True
G326.6618+00.5207,2022.1.01344.S,1,NaCl,NaCl_v2_J17-16,2,0.0016128767747431993,-0.001955007668584585,0.0007322523160837591,2.202624340431188,2.6698552201792705,-13.40577286338876,0.0,True,False,False,False
G326.6618+00.5207,2022.1.01344.S,1,NaCl,NaCl_v2_J18-17,2,0.0006285691633820534,-0.0017569608753547072,0.0017470058519393206,0.3597979724477109,1.0056983343268917,-27.7279296389065,0.0,True,False,False,False
G326.6618+00.5207,2022.1.01344.S,1,H2O,H2O_5_15-4_22_232,0,0.0031498377211391926,-0.0005299053154885769,0.0005666314391419291,5.558882729678939,0.9351851642595618,-25.367845066021896,0.0,True,True,True,True
G326.6618+00.5207,2022.1.01344.S,1,H2O,H2O_v2_3_13-2_20_232,2,0.0023149799089878798,-0.0013084008824080229,0.0007479521445930004,3.095090943615892,1.7493109577484958,-29.264610926621245,0.0,True,False,False,False
G345.4938+01.4677,2022.1.00700.S,1,NaCl,NaCl_v1_J18-17,1,0.0017939044628292322,-0.0023948608431965113,0.0005428806180134416,3.3044179572917,4.4113949987015655,15.282369103384438,0.0,True,False,False,False
G345.4938+01.4677,2022.1.00700.S,1,H2O,H2O_5_15-4_22_232,0,0.0012384128058329225,-0.0016971731092780828,0.0010026994859799743,1.2350787281221922,1.6926039486490556,4.149648012994788,0.0,True,False,True,False
G345.5043+00.3480,2022.1.01344.S,1,NaCl,NaCl_v0_J18-17,0,0.0013651957269757986,-0.001334841363132,0.0006886320188641548,1.982474949723632,1.9383957274216168,7.729705445317086,0.0,True,False,True,False
G345.5043+00.3480,2022.1.01344.S,1,NaCl,NaCl_v1_J17-16,1,0.0009677967755123973,-0.0018619070760905743,0.0009605177910998464,1.0075781880148373,1.9384410089464215,-10.945844464515423,0.0,True,False,False,False
G345.5043+00.3480,2022.1.01344.S,1,NaCl,NaCl_v2_J17-16,2,0.001460038940422237,-0.0016884414944797754,0.0009481462184339762,1.5398879540264772,1.780781763037058,13.585357941502938,0.0,True,False,False,False
G345.5043+00.3480,2022.1.01344.S,1,NaCl,NaCl_v2_J18-17,2,0.0018234988674521446,-0.000991370528936386,0.0006794760702177882,2.683683719527709,1.4590219911918727,-6.3698392421852335,0.0,True,False,False,False
G345.5043+00.3480,2022.1.01344.S,1,H2O,H2O_5_15-4_22_232,0,0.0007831809343770146,-0.0012704147957265377,0.0005081954877823591,1.5411017083103684,2.4998545368246328,0.7806288074491895,0.0,True,False,True,False
G345.5043+00.3480,2022.1.01344.S,1,H2O,H2O_v2_3_13-2_20_232,2,0.0022104124072939157,-0.0019366682972759008,0.0009141059126704931,2.418114112003016,2.1186475991803477,-29.55252335923619,0.0,True,False,False,False
G345.5043+00.3480,2022.1.01344.S,2,NaCl,NaCl_v0_J18-17,0,0.003676492488011718,-0.0009920441079884768,0.0009386345045641065,3.916852054910392,1.0569013851128062,-28.51844906335557,0.0,True,True,True,False
G345.5043+00.3480,2022.1.01344.S,2,NaCl,NaCl_v1_J17-16,1,0.004406402353197336,-0.010349295102059841,0.0018094958504661918,2.4351547156419766,5.719435664576676,-20.94767846914461,0.0,True,False,False,False
G345.5043+00.3480,2022.1.01344.S,2,NaCl,NaCl_v2_J17-16,2,0.003580283373594284,-0.0007844726787880063,0.0005406440468505025,6.622256167345342,1.45099660924395,-19.995911178747892,0.0,True,True,False,True
G345.5043+00.3480,2022.1.01344.S,2,NaCl,NaCl_v2_J18-17,2,0.0036057408433407545,-0.0007889247499406338,0.0008429837762378156,4.277354968126376,0.9358718070015013,-26.669964523886915,0.0,True,True,False,False
G345.5043+00.3480,2022.1.01344.S,2,H2O,H2O_5_15-4_22_232,0,0.007926300168037415,-0.0012704844120889902,0.0005206320784054697,15.224379166787319,2.4402730157928025,-23.12780976579417,0.0,True,True,True,True
G345.5043+00.3480,2022.1.01344.S,2,H2O,H2O_v2_3_13-2_20_232,2,0.00213694479316473,-0.01350502111017704,0.0006475845584645867,3.299869901517408,20.85445203047652,-23.267578879244336,0.0,True,False,False,False
IRAS17233-3606,2016.1.01137.S,1,NaCl,NaCl_v0_J31-30,0,0.40673449635505676,-0.034658923745155334,0.05138539895415306,7.915370993187234,0.6744897276379741,24.92276440523693,0.0,True,True,True,True
IRAS17233-3606,2016.1.01137.S,1,NaCl,NaCl_v0_J51-50,0,0.25239694118499756,-0.32012563943862915,0.2079518437385559,1.2137278354806007,1.5394219819522348,-26.138759217951012,0.0,True,False,True,False
IRAS17233-3606,2016.1.01137.S,1,NaCl,NaCl_v2_J52-51,2,0.2600739896297455,-0.10914287716150284,0.041324011981487274,6.293531948114232,2.641149102618538,-6.8545835728257085,0.0,True,True,False,True
IRAS17233-3606,2016.1.01137.S,1,NaCl,NaCl_v2_J53-52,2,0.27516788244247437,-0.2301013320684433,0.11630813032388687,2.365852513286954,1.9783770182503404,-10.404988006054307,0.0,True,False,False,False
IRAS17233-3606,2016.1.01137.S,1,KCl,KCl_v0_J51-50,0,0.15339460968971252,-0.10499578714370728,0.04031286761164665,3.8051029057877246,2.6045229070574307,-2.3833638866575493,0.0,True,False,True,False
IRAS17233-3606,2016.1.01137.S,1,KCl,KCl_v0_J87-86,0,0.2974345088005066,-0.29028815031051636,0.0778229758143425,3.8219369754001424,3.7301085864801546,-17.91430902731919,0.0,True,False,True,False
IRAS17233-3606,2016.1.01137.S,1,KCl,KCl_v1_J53-52,1,0.11441081762313843,-0.13273225724697113,0.09551577270030975,1.197821201552897,1.3896370567344076,-28.848626523265615,0.0,True,False,False,False
IRAS17233-3606,2016.1.01137.S,1,KCl,KCl_v2_J88-87,2,0.3829311728477478,-0.18122059106826782,0.08129630237817764,4.710314757815332,2.2291369443256848,2.3354425876851894,0.0,True,True,False,False
IRAS17233-3606,2016.1.01137.S,1,KCl,KCl_v2_J90-89,2,0.44140487909317017,-0.09846557676792145,0.08648324012756348,5.103935495965397,1.1385509680567463,-2.5063927364388947,0.0,True,True,False,True
IRAS17233-3606,2017.1.00237.S,1,NaCl,NaCl_v0_J18-17,0,0.0030003427527844906,-0.005368025507777929,0.0019058330217376351,1.574294661999791,2.816629498256702,-28.0764315647654,0.0,True,False,True,False
IRAS17233-3606,2017.1.00237.S,1,NaCl,NaCl_v1_J17-16,1,0.003410985693335533,-0.0014353969600051641,0.0016119692008942366,2.116036516977679,0.8904617775630457,-11.821047474366031,0.0,True,True,False,False
IRAS17233-3606,2017.1.00237.S,1,NaCl,NaCl_v1_J18-17,1,0.0068757119588553905,-0.0011445698328316212,0.0010484398808330297,6.558041223491372,1.0916885686589985,13.293559645705392,0.0,True,True,False,True
IRAS17233-3606,2017.1.00237.S,1,NaCl,NaCl_v2_J17-16,2,0.003014102578163147,-0.0017060603713616729,0.002332310890778899,1.2923245310390659,0.7314892616189416,-19.106371419291012,0.0,True,False,False,False
