name,origin,family,snr_max,n_lines_avail,noise_K,ul3_stack_K,ul3_per_line_K,ul3_per_line_Jybeam,best_line
G327.301-00.552_eb1_004,DIHCA2,H2O,3.233,1,2.12769,,6.3831,0.000222,H2O_232
G327.301-00.552_eb1_004,DIHCA2,NaCl,2.951,4,0.98975,,2.9693,0.000105,NaCl_v2_17-16
G327.301-00.552_eb1_001,DIHCA2,NaCl,2.155,2,11.9041,,35.7123,0.001037,NaCl_v1_17-16
G327.293-00.579_eb1_005,DIHCA2,NaCl,0.742,1,1.43581,,4.3074,0.00016,NaCl_v2_17-16
G327.293-00.579_eb1_003,DIHCA2,NaCl,1.748,2,19.74116,,59.2235,0.002207,NaCl_v2_17-16
G326.774-00.126_eb1_007,DIHCA2,NaCl,2.103,2,13.23725,,39.7118,0.00142,NaCl_v0_18-17
G322.164+00.622_006,DIHCA2,NaCl,4.059,1,19.03237,,57.0971,0.002419,NaCl_v2_17-16
G322.164+00.622_005,DIHCA2,H2O,2.529,1,47.48154,,142.4446,0.006243,H2O_232
G322.164+00.622_005,DIHCA2,NaCl,2.452,1,47.56577,,142.6973,0.006244,NaCl_v1_18-17
G322.164+00.622_004,DIHCA2,NaCl,1.943,2,0.33542,,1.0062,4.3e-05,NaCl_v2_17-16
G322.164+00.622_003,DIHCA2,NaCl,1.678,1,0.99249,,2.9775,0.00013,NaCl_v1_18-17
G322.164+00.622_003,DIHCA2,H2O,1.489,1,0.99925,,2.9977,0.000131,H2O_232
G320.169+00.824_002,DIHCA2,H2O,4.869,1,9.99272,,29.9782,0.001496,H2O_232
G319.872+00.787_001,DIHCA2,NaCl,2.429,2,18.293,,54.879,0.002653,NaCl_v2_17-16
G319.872+00.787_001,DIHCA2,H2O,1.396,1,19.67809,,59.0343,0.002682,H2O_232
G316.811-00.059_004,DIHCA2,NaCl,3.455,2,3.34131,,10.0239,0.000552,NaCl_v2_17-16
G313.766-00.862_eb1_003,DIHCA2,NaCl,3.611,3,2.56995,,7.7099,0.000575,NaCl_v2_17-16
G313.766-00.862_eb1_002,DIHCA2,NaCl,3.182,1,2.04073,,6.1222,0.00044,NaCl_v0_18-17
G300.918+00.889_eb1_004,DIHCA2,H2O,3.098,1,35.3037,,105.9111,0.004658,H2O_232
