ID,Name,GLON,GLAT,Dist_kpc,theta_200AU_arcsec,n_alma_obs,best_res_arcsec,n_hires_obs
34347,b'HIGALBM305.8870+0.0164',305.887003,0.016406,6.944,0.02880184331797235,48,0.13357817626002497,0
34954,b'HIGALBM307.5605-0.5865',307.560503,-0.586483,7.512,0.026624068157614485,28,0.16101868589750057,0
34975,b'HIGALBM307.6128-0.2574',307.612826,-0.257448,7.214,0.02772387025228722,54,0.13399704230725834,0
34977,b'HIGALBM307.6215-0.2618',307.621497,-0.261769,7.214,0.02772387025228722,54,0.13399973311222613,0
35060,b'HIGALBM307.8048-0.4558',307.804844,-0.455816,7.602,0.026308866087871613,0,,0
35146,b'HIGALBM308.0560-0.3959',308.055974,-0.395875,9.721,0.020574015019030965,0,,0
35377,b'HIGALBM308.6465+0.6451',308.646545,0.645113,5.727,0.03492229788720098,12,0.30414650743758087,0
35378,b'HIGALBM308.6508-0.5073',308.650761,-0.507272,8.173,0.02447081854888046,0,,0
35446,b'HIGALBM308.7548+0.5483',308.754777,0.548255,6.368,0.031407035175879394,12,0.13346055508718624,0
35661,b'HIGALBM309.1599-0.5939',309.159855,-0.593889,4.564,0.04382120946538125,8,3.61586324157277,0
35682,b'HIGALBM309.1798-0.0283',309.179754,-0.028309,3.316,0.06031363088057901,30,10.494597450378576,0
35707,b'HIGALBM309.2206-0.4622',309.220604,-0.462184,4.0,0.05,18,0.3055590969727205,0
